Frame,Image,GroundTruth,Prediction,Confidence,TP,FP,FN,TN,Accuracy,Precision,Recall,FPS,Status
0,good_00 (26).png,GOOD,PASS,0.8087,1,0,0,0,1.0,1.0,1.0,0.0,FAIL
1,defect_001 (53).png,DEFECTIVE,DEFECT,0.5064,1,0,0,1,1.0,1.0,1.0,6.06,FAIL
2,defect_001 (54).png,DEFECTIVE,DEFECT,0.4167,1,0,0,2,1.0,1.0,1.0,12.46,FAIL
3,defect_001 (55).png,DEFECTIVE,DEFECT,0.4232,1,0,0,3,1.0,1.0,1.0,15.76,FAIL
4,good_00 (1).png,GOOD,PASS,0.8078,2,0,0,3,1.0,1.0,1.0,18.32,FAIL
5,good_00 (10).png,GOOD,PASS,0.8102,3,0,0,3,1.0,1.0,1.0,19.31,FAIL
6,good_00 (11).png,GOOD,PASS,0.7977,4,0,0,3,1.0,1.0,1.0,19.83,FAIL
7,good_00 (12).png,GOOD,PASS,0.8214,5,0,0,3,1.0,1.0,1.0,19.33,FAIL
8,good_00 (13).png,GOOD,PASS,0.7781,6,0,0,3,1.0,1.0,1.0,19.48,FAIL
9,good_00 (15).png,GOOD,PASS,0.7961,7,0,0,3,1.0,1.0,1.0,19.99,FAIL
10,good_00 (16).png,GOOD,PASS,0.7961,8,0,0,3,1.0,1.0,1.0,20.41,WARN
11,good_00 (17).png,GOOD,PASS,0.833,9,0,0,3,1.0,1.0,1.0,20.69,WARN
12,good_00 (17).png,GOOD,PASS,0.7895,10,0,0,3,1.0,1.0,1.0,21.16,WARN
13,good_00 (18).png,GOOD,PASS,0.7975,11,0,0,3,1.0,1.0,1.0,21.1,WARN
14,good_00 (19).png,GOOD,PASS,0.801,12,0,0,3,1.0,1.0,1.0,21.08,WARN
15,good_00 (2).png,GOOD,PASS,0.7889,13,0,0,3,1.0,1.0,1.0,21.13,WARN
16,good_00 (20).png,GOOD,PASS,0.8131,14,0,0,3,1.0,1.0,1.0,20.85,WARN
17,good_00 (22).png,GOOD,PASS,0.8335,15,0,0,3,1.0,1.0,1.0,20.92,WARN
18,good_00 (23).png,GOOD,PASS,0.8417,16,0,0,3,1.0,1.0,1.0,20.9,WARN
19,good_00 (25).png,GOOD,PASS,0.8087,17,0,0,3,1.0,1.0,1.0,20.77,WARN
20,good_00 (26).png,GOOD,PASS,0.825,18,0,0,3,1.0,1.0,1.0,20.59,WARN
21,good_00 (27).png,GOOD,PASS,0.815,19,0,0,3,1.0,1.0,1.0,20.42,WARN
22,good_00 (29).png,GOOD,PASS,0.8024,20,0,0,3,1.0,1.0,1.0,20.31,WARN
23,good_00 (3).png,GOOD,PASS,0.8208,21,0,0,3,1.0,1.0,1.0,20.19,WARN
24,good_00 (30).png,GOOD,PASS,0.8215,22,0,0,3,1.0,1.0,1.0,20.21,WARN
25,good_00 (4).png,GOOD,PASS,0.8238,23,0,0,3,1.0,1.0,1.0,20.24,WARN
26,good_00 (5).png,GOOD,PASS,0.8028,24,0,0,3,1.0,1.0,1.0,20.22,WARN
27,good_00 (6).png,GOOD,PASS,0.8193,25,0,0,3,1.0,1.0,1.0,20.23,WARN
28,good_00 (7).png,GOOD,PASS,0.7509,26,0,0,3,1.0,1.0,1.0,20.33,WARN
29,good_00 (8).png,GOOD,PASS,0.8462,27,0,0,3,1.0,1.0,1.0,20.29,WARN
30,good_00 (9).png,GOOD,PASS,0.8122,28,0,0,3,1.0,1.0,1.0,20.24,WARN
31,defect_001 (47).png,DEFECTIVE,PASS,0.7496,28,1,0,3,0.9688,0.9655,1.0,20.66,WARN
32,defect_001 (48).png,DEFECTIVE,PASS,0.7496,28,2,0,3,0.9394,0.9333,1.0,20.67,WARN
33,defect_001 (49).png,DEFECTIVE,PASS,0.7243,28,3,0,3,0.9118,0.9032,1.0,20.53,WARN
34,defect_001 (50).png,DEFECTIVE,PASS,0.7469,28,4,0,3,0.8857,0.875,1.0,20.27,WARN
35,defect_001 (51).png,DEFECTIVE,PASS,0.7563,28,5,0,3,0.8611,0.8485,1.0,20.2,WARN
36,defect_001 (52).png,DEFECTIVE,DEFECT,0.3163,28,5,0,4,0.8649,0.8485,1.0,20.06,WARN
37,defect_001 (53).png,DEFECTIVE,DEFECT,0.5064,28,5,0,5,0.8684,0.8485,1.0,20.16,WARN
38,defect_001 (55).png,DEFECTIVE,DEFECT,0.4232,28,5,0,6,0.8718,0.8485,1.0,20.17,WARN
39,good_00 (1).png,GOOD,PASS,0.8078,29,5,0,6,0.875,0.8529,1.0,19.92,FAIL
40,good_00 (10).png,GOOD,PASS,0.8102,30,5,0,6,0.878,0.8571,1.0,19.82,FAIL
41,good_00 (12).png,GOOD,PASS,0.8214,31,5,0,6,0.881,0.8611,1.0,19.65,FAIL
42,good_00 (13).png,GOOD,PASS,0.7781,32,5,0,6,0.8837,0.8649,1.0,19.49,FAIL
43,good_00 (14).png,GOOD,PASS,0.8208,33,5,0,6,0.8864,0.8684,1.0,19.44,FAIL
44,good_00 (15).png,GOOD,PASS,0.7961,34,5,0,6,0.8889,0.8718,1.0,19.41,FAIL
45,good_00 (16).png,GOOD,PASS,0.833,35,5,0,6,0.8913,0.875,1.0,19.42,FAIL
46,good_00 (17).png,GOOD,PASS,0.7895,36,5,0,6,0.8936,0.878,1.0,19.45,FAIL
47,good_00 (19).png,GOOD,PASS,0.801,37,5,0,6,0.8958,0.881,1.0,19.41,FAIL
48,good_00 (2).png,GOOD,PASS,0.7889,38,5,0,6,0.898,0.8837,1.0,19.38,FAIL
49,good_00 (20).png,GOOD,PASS,0.8131,39,5,0,6,0.9,0.8864,1.0,19.5,FAIL
50,good_00 (21).png,GOOD,PASS,0.832,40,5,0,6,0.902,0.8889,1.0,19.56,FAIL
